Model,Voice,Case,Page,Cosine Similarity,Runtime (s)
your_tts,Sample_voicep225,Single,Page1,0.1392,0.82
your_tts,Sample_voicep225,Single,Page2,0.1425,0.89
your_tts,Sample_voicep225,Single,Page3,0.0858,0.88
your_tts,Sample_voicep225,Multiple,Page1,0.0696,0.79
your_tts,Sample_voicep225,Multiple,Page2,0.1058,0.8
your_tts,Sample_voicep225,Multiple,Page3,0.1049,0.98
your_tts,Sample_voicep226,Single,Page1,0.0064,0.84
your_tts,Sample_voicep226,Single,Page2,0.0477,0.86
your_tts,Sample_voicep226,Single,Page3,0.0027,0.89
your_tts,Sample_voicep226,Multiple,Page1,0.0354,0.85
your_tts,Sample_voicep226,Multiple,Page2,0.0169,0.84
your_tts,Sample_voicep226,Multiple,Page3,-0.0327,0.84
your_tts,Sample_voicep227,Single,Page1,-0.0425,0.92
your_tts,Sample_voicep227,Single,Page2,0.0248,0.86
your_tts,Sample_voicep227,Single,Page3,-0.0438,0.85
your_tts,Sample_voicep227,Multiple,Page1,-0.0065,0.87
your_tts,Sample_voicep227,Multiple,Page2,0.0465,0.84
your_tts,Sample_voicep227,Multiple,Page3,0.0178,0.86
your_tts,Sample_voicep228,Single,Page1,-0.0091,1.14
your_tts,Sample_voicep228,Single,Page2,-0.047,0.97
your_tts,Sample_voicep228,Single,Page3,0.0254,1.01
your_tts,Sample_voicep228,Multiple,Page1,-0.0162,0.97
your_tts,Sample_voicep228,Multiple,Page2,0.026,1.0
your_tts,Sample_voicep228,Multiple,Page3,0.0767,0.99
your_tts,Sample_voicep229,Single,Page1,-0.0803,0.82
your_tts,Sample_voicep229,Single,Page2,-0.0481,0.93
your_tts,Sample_voicep229,Single,Page3,-0.1031,0.84
your_tts,Sample_voicep229,Multiple,Page1,-0.051,0.82
your_tts,Sample_voicep229,Multiple,Page2,-0.1,0.82
your_tts,Sample_voicep229,Multiple,Page3,-0.0798,0.9
your_tts,Sample_voicep230,Single,Page1,0.0635,0.87
your_tts,Sample_voicep230,Single,Page2,0.0401,0.84
your_tts,Sample_voicep230,Single,Page3,0.0724,0.93
your_tts,Sample_voicep230,Multiple,Page1,0.0971,0.89
your_tts,Sample_voicep230,Multiple,Page2,0.0634,0.89
your_tts,Sample_voicep230,Multiple,Page3,0.0419,0.91
your_tts,Sample_voicep231,Single,Page1,-0.0831,0.78
your_tts,Sample_voicep231,Single,Page2,-0.0474,0.76
your_tts,Sample_voicep231,Single,Page3,-0.0564,0.8
your_tts,Sample_voicep231,Multiple,Page1,-0.0504,0.76
your_tts,Sample_voicep231,Multiple,Page2,-0.0573,0.76
your_tts,Sample_voicep231,Multiple,Page3,-0.0347,0.79
your_tts,Sample_voicep232,Single,Page1,0.0317,0.76
your_tts,Sample_voicep232,Single,Page2,0.0377,0.78
your_tts,Sample_voicep232,Single,Page3,-0.0097,0.81
your_tts,Sample_voicep232,Multiple,Page1,0.0866,0.76
your_tts,Sample_voicep232,Multiple,Page2,-0.0068,0.77
your_tts,Sample_voicep232,Multiple,Page3,0.0236,0.78
your_tts,Sample_voicep233,Single,Page1,-0.0343,1.06
your_tts,Sample_voicep233,Single,Page2,-0.0395,0.91
your_tts,Sample_voicep233,Single,Page3,-0.0428,0.88
your_tts,Sample_voicep233,Multiple,Page1,-0.0334,0.83
your_tts,Sample_voicep233,Multiple,Page2,-0.0393,0.83
your_tts,Sample_voicep233,Multiple,Page3,0.028,0.86
your_tts,Sample_voicep234,Single,Page1,0.094,0.83
your_tts,Sample_voicep234,Single,Page2,0.0849,0.8
your_tts,Sample_voicep234,Single,Page3,0.0605,0.89
your_tts,Sample_voicep234,Multiple,Page1,0.0522,0.82
your_tts,Sample_voicep234,Multiple,Page2,0.0961,0.83
your_tts,Sample_voicep234,Multiple,Page3,0.0383,0.87
your_tts,Sample_voicep236,Single,Page1,0.036,0.84
your_tts,Sample_voicep236,Single,Page2,0.0496,0.85
your_tts,Sample_voicep236,Single,Page3,0.0957,0.87
your_tts,Sample_voicep236,Multiple,Page1,0.0292,0.84
your_tts,Sample_voicep236,Multiple,Page2,0.0457,0.99
your_tts,Sample_voicep236,Multiple,Page3,0.1041,0.91
your_tts,Sample_voicep237,Single,Page1,-0.0222,0.83
your_tts,Sample_voicep237,Single,Page2,-0.0431,0.79
your_tts,Sample_voicep237,Single,Page3,-0.0015,0.8
your_tts,Sample_voicep237,Multiple,Page1,-0.017,0.81
your_tts,Sample_voicep237,Multiple,Page2,-0.0399,0.8
your_tts,Sample_voicep237,Multiple,Page3,-0.0366,0.85
your_tts,Sample_voicep238,Single,Page1,-0.0205,0.81
your_tts,Sample_voicep238,Single,Page2,-0.0037,0.81
your_tts,Sample_voicep238,Single,Page3,0.0028,0.85
your_tts,Sample_voicep238,Multiple,Page1,-0.0193,0.82
your_tts,Sample_voicep238,Multiple,Page2,-0.0034,0.84
your_tts,Sample_voicep238,Multiple,Page3,-0.0135,0.94
your_tts,Sample_voicep239,Single,Page1,0.0324,0.79
your_tts,Sample_voicep239,Single,Page2,-0.0113,0.88
your_tts,Sample_voicep239,Single,Page3,0.0383,0.85
your_tts,Sample_voicep239,Multiple,Page1,0.053,0.76
your_tts,Sample_voicep239,Multiple,Page2,-0.0029,0.79
your_tts,Sample_voicep239,Multiple,Page3,0.0458,0.8
your_tts,Sample_voicep240,Single,Page1,0.0483,0.74
your_tts,Sample_voicep240,Single,Page2,0.1177,0.71
your_tts,Sample_voicep240,Single,Page3,0.0438,0.8
your_tts,Sample_voicep240,Multiple,Page1,0.0817,0.69
your_tts,Sample_voicep240,Multiple,Page2,0.0685,0.69
your_tts,Sample_voicep240,Multiple,Page3,0.0146,0.77
your_tts,Sample_voicep241,Single,Page1,-0.0214,1.21
your_tts,Sample_voicep241,Single,Page2,-0.0733,0.9
your_tts,Sample_voicep241,Single,Page3,-0.0687,0.93
your_tts,Sample_voicep241,Multiple,Page1,-0.009,0.8
your_tts,Sample_voicep241,Multiple,Page2,-0.0419,0.8
your_tts,Sample_voicep241,Multiple,Page3,-0.0298,0.91
your_tts,Sample_voicep243,Single,Page1,0.0458,1.24
your_tts,Sample_voicep243,Single,Page2,0.0942,1.35
your_tts,Sample_voicep243,Single,Page3,0.0328,0.88
your_tts,Sample_voicep243,Multiple,Page1,0.1025,0.86
your_tts,Sample_voicep243,Multiple,Page2,0.0885,0.92
your_tts,Sample_voicep243,Multiple,Page3,0.0714,0.92
your_tts,Sample_voicep244,Single,Page1,-0.0091,0.93
your_tts,Sample_voicep244,Single,Page2,-0.0245,0.82
your_tts,Sample_voicep244,Single,Page3,-0.0338,0.82
your_tts,Sample_voicep244,Multiple,Page1,-0.0408,0.82
your_tts,Sample_voicep244,Multiple,Page2,-0.042,0.81
your_tts,Sample_voicep244,Multiple,Page3,-0.0484,0.85
your_tts,Sample_voicep245,Single,Page1,0.0618,0.83
your_tts,Sample_voicep245,Single,Page2,0.0174,0.83
your_tts,Sample_voicep245,Single,Page3,0.0186,0.88
your_tts,Sample_voicep245,Multiple,Page1,0.0478,0.83
your_tts,Sample_voicep245,Multiple,Page2,0.006,0.83
your_tts,Sample_voicep245,Multiple,Page3,-0.0091,0.87
your_tts,Sample_voicep340,Single,Page1,0.1182,0.86
your_tts,Sample_voicep340,Single,Page2,0.1663,0.83
your_tts,Sample_voicep340,Single,Page3,0.1785,0.94
your_tts,Sample_voicep340,Multiple,Page1,0.1818,0.94
your_tts,Sample_voicep340,Multiple,Page2,0.1385,0.83
your_tts,Sample_voicep340,Multiple,Page3,0.1413,1.02
vits,Sample_voicep225,Single,Page1,0.06,1.48
vits,Sample_voicep225,Single,Page2,0.0281,1.08
vits,Sample_voicep225,Single,Page3,0.078,1.22
vits,Sample_voicep225,Multiple,Page1,0.0504,0.93
vits,Sample_voicep225,Multiple,Page2,0.0462,1.65
vits,Sample_voicep225,Multiple,Page3,0.0721,1.23
vits,Sample_voicep226,Single,Page1,0.0576,0.97
vits,Sample_voicep226,Single,Page2,0.065,0.98
vits,Sample_voicep226,Single,Page3,0.0613,1.22
vits,Sample_voicep226,Multiple,Page1,0.04,0.92
vits,Sample_voicep226,Multiple,Page2,0.0796,0.99
vits,Sample_voicep226,Multiple,Page3,0.0744,1.27
vits,Sample_voicep227,Single,Page1,0.0211,0.93
vits,Sample_voicep227,Single,Page2,0.0195,1.01
vits,Sample_voicep227,Single,Page3,0.0312,1.19
vits,Sample_voicep227,Multiple,Page1,0.0269,1.0
vits,Sample_voicep227,Multiple,Page2,0.0215,1.09
vits,Sample_voicep227,Multiple,Page3,0.0494,1.18
vits,Sample_voicep228,Single,Page1,-0.0318,1.07
vits,Sample_voicep228,Single,Page2,0.0254,1.05
vits,Sample_voicep228,Single,Page3,0.0194,1.17
vits,Sample_voicep228,Multiple,Page1,-0.0219,0.88
vits,Sample_voicep228,Multiple,Page2,-0.0186,1.04
vits,Sample_voicep228,Multiple,Page3,0.0116,1.14
vits,Sample_voicep229,Single,Page1,0.0759,0.97
vits,Sample_voicep229,Single,Page2,0.087,0.98
vits,Sample_voicep229,Single,Page3,0.0631,1.37
vits,Sample_voicep229,Multiple,Page1,0.0966,1.0
vits,Sample_voicep229,Multiple,Page2,0.0631,1.17
vits,Sample_voicep229,Multiple,Page3,0.063,1.18
vits,Sample_voicep230,Single,Page1,0.1514,1.06
vits,Sample_voicep230,Single,Page2,0.1642,1.11
vits,Sample_voicep230,Single,Page3,0.168,1.3
vits,Sample_voicep230,Multiple,Page1,0.1636,0.95
vits,Sample_voicep230,Multiple,Page2,0.1702,1.09
vits,Sample_voicep230,Multiple,Page3,0.14,1.53
vits,Sample_voicep231,Single,Page1,0.0706,1.06
vits,Sample_voicep231,Single,Page2,0.0641,1.1
vits,Sample_voicep231,Single,Page3,0.0628,1.26
vits,Sample_voicep231,Multiple,Page1,0.069,1.04
vits,Sample_voicep231,Multiple,Page2,0.0822,1.0
vits,Sample_voicep231,Multiple,Page3,0.0729,1.31
vits,Sample_voicep232,Single,Page1,0.0054,0.96
vits,Sample_voicep232,Single,Page2,-0.021,1.22
vits,Sample_voicep232,Single,Page3,0.0039,1.21
vits,Sample_voicep232,Multiple,Page1,-0.0373,1.11
vits,Sample_voicep232,Multiple,Page2,-0.0208,1.37
vits,Sample_voicep232,Multiple,Page3,0.006,1.26
vits,Sample_voicep233,Single,Page1,0.0281,0.97
vits,Sample_voicep233,Single,Page2,0.0802,1.45
vits,Sample_voicep233,Single,Page3,0.04,1.29
vits,Sample_voicep233,Multiple,Page1,0.0463,0.94
vits,Sample_voicep233,Multiple,Page2,0.0533,1.22
vits,Sample_voicep233,Multiple,Page3,0.0687,1.26
vits,Sample_voicep234,Single,Page1,0.1171,0.93
vits,Sample_voicep234,Single,Page2,0.1423,1.08
vits,Sample_voicep234,Single,Page3,0.1213,1.23
vits,Sample_voicep234,Multiple,Page1,0.1029,1.0
vits,Sample_voicep234,Multiple,Page2,0.1458,1.07
vits,Sample_voicep234,Multiple,Page3,0.1272,1.31
vits,Sample_voicep236,Single,Page1,0.0228,1.04
vits,Sample_voicep236,Single,Page2,0.04,0.98
vits,Sample_voicep236,Single,Page3,0.0323,1.23
vits,Sample_voicep236,Multiple,Page1,0.0526,1.33
vits,Sample_voicep236,Multiple,Page2,0.0451,1.11
vits,Sample_voicep236,Multiple,Page3,0.0274,1.22
vits,Sample_voicep237,Single,Page1,0.0278,0.97
vits,Sample_voicep237,Single,Page2,0.0496,1.1
vits,Sample_voicep237,Single,Page3,0.0577,1.15
vits,Sample_voicep237,Multiple,Page1,-0.0093,1.09
vits,Sample_voicep237,Multiple,Page2,0.0557,1.01
vits,Sample_voicep237,Multiple,Page3,0.0463,1.22
vits,Sample_voicep238,Single,Page1,-0.002,1.08
vits,Sample_voicep238,Single,Page2,0.0,1.14
vits,Sample_voicep238,Single,Page3,-0.0114,1.68
vits,Sample_voicep238,Multiple,Page1,-0.0352,1.04
vits,Sample_voicep238,Multiple,Page2,-0.0071,1.12
vits,Sample_voicep238,Multiple,Page3,0.0023,1.27
vits,Sample_voicep239,Single,Page1,0.1301,1.31
vits,Sample_voicep239,Single,Page2,0.1397,1.26
vits,Sample_voicep239,Single,Page3,0.1446,1.26
vits,Sample_voicep239,Multiple,Page1,0.1545,0.98
vits,Sample_voicep239,Multiple,Page2,0.1692,1.14
vits,Sample_voicep239,Multiple,Page3,0.1147,1.22
vits,Sample_voicep240,Single,Page1,0.0709,1.0
vits,Sample_voicep240,Single,Page2,0.09,1.27
vits,Sample_voicep240,Single,Page3,0.0764,1.39
vits,Sample_voicep240,Multiple,Page1,0.1132,0.95
vits,Sample_voicep240,Multiple,Page2,0.1161,1.14
vits,Sample_voicep240,Multiple,Page3,0.0609,1.67
vits,Sample_voicep241,Single,Page1,0.0022,0.91
vits,Sample_voicep241,Single,Page2,0.0741,1.08
vits,Sample_voicep241,Single,Page3,0.0264,1.2
vits,Sample_voicep241,Multiple,Page1,0.0192,0.96
vits,Sample_voicep241,Multiple,Page2,0.0536,1.12
vits,Sample_voicep241,Multiple,Page3,0.0427,1.23
vits,Sample_voicep243,Single,Page1,0.017,1.35
vits,Sample_voicep243,Single,Page2,0.0547,1.21
vits,Sample_voicep243,Single,Page3,0.044,1.16
vits,Sample_voicep243,Multiple,Page1,0.0174,0.94
vits,Sample_voicep243,Multiple,Page2,0.0538,1.32
vits,Sample_voicep243,Multiple,Page3,0.0272,1.24
vits,Sample_voicep244,Single,Page1,0.0242,0.97
vits,Sample_voicep244,Single,Page2,0.0797,1.15
vits,Sample_voicep244,Single,Page3,0.051,1.68
vits,Sample_voicep244,Multiple,Page1,0.0156,0.94
vits,Sample_voicep244,Multiple,Page2,0.0591,1.13
vits,Sample_voicep244,Multiple,Page3,0.0616,1.24
vits,Sample_voicep245,Single,Page1,0.0172,1.06
vits,Sample_voicep245,Single,Page2,0.0438,1.09
vits,Sample_voicep245,Single,Page3,0.0521,1.22
vits,Sample_voicep245,Multiple,Page1,0.0271,0.97
vits,Sample_voicep245,Multiple,Page2,0.0311,1.11
vits,Sample_voicep245,Multiple,Page3,0.036,1.24
vits,Sample_voicep340,Single,Page1,-0.0195,1.07
vits,Sample_voicep340,Single,Page2,0.019,1.1
vits,Sample_voicep340,Single,Page3,0.0342,1.26
vits,Sample_voicep340,Multiple,Page1,-0.0084,0.93
vits,Sample_voicep340,Multiple,Page2,0.02,1.09
vits,Sample_voicep340,Multiple,Page3,0.0035,1.6
